Match Number,Round Number,Date,Location,Home Team,Away Team,Result
97,10,28/10/2023 18:00,Ettore Giardiniero - Via del mare,Lecce,Torino,0 - 1
95,10,28/10/2023 20:45,Juventus Stadium,Juventus,Hellas Verona,1 - 0
91,10,29/10/2023 12:30,Unipol Domus,Cagliari,Frosinone,4 - 3
98,10,29/10/2023 15:00,Brianteo,Monza,Udinese,1 - 1
94,10,29/10/2023 18:00,San Siro,Inter,Roma,1 - 0
99,10,29/10/2023 20:45,Diego Armando Maradona,Napoli,Milan,2 - 2
92,10,30/10/2023 18:30,Carlo Castellani,Empoli,Atalanta,0 - 3
96,10,30/10/2023 20:45,Olimpico,Lazio,Fiorentina,1 - 0
102,11,03/11/2023 20:45,Renato Dall'Ara,Bologna,Lazio,1 - 0
108,11,04/11/2023 15:00,Arechi,Salernitana,Napoli,0 - 2
101,11,04/11/2023 18:00,Atleti Azzurri d'Italia,Atalanta,Inter,1 - 2
106,11,04/11/2023 20:45,San Siro,Milan,Udinese,0 - 1
110,11,05/11/2023 12:30,Marcantonio Bentegodi,Hellas Verona,Monza,1 - 3
103,11,05/11/2023 15:00,Unipol Domus,Cagliari,Genoa,2 - 1
107,11,05/11/2023 18:00,Olimpico,Roma,Lecce,2 - 1
104,11,05/11/2023 20:45,Artemio Franchi,Fiorentina,Juventus,0 - 1
105,11,06/11/2023 18:30,Benito Stirpe,Frosinone,Empoli,2 - 1
109,11,06/11/2023 20:45,Olimpico Grande Torino,Torino,Sassuolo,2 - 1
120,12,10/11/2023 18:30,Mapei Stadium - Città del Tricolore,Sassuolo,Salernitana,2 - 2
113,12,10/11/2023 20:45,Luigi Ferraris,Genoa,Hellas Verona,1 - 0
117,12,11/11/2023 15:00,Ettore Giardiniero - Via del mare,Lecce,Milan,2 - 2
115,12,11/11/2023 18:00,Juventus Stadium,Juventus,Cagliari,2 - 1
118,12,11/11/2023 20:45,Brianteo,Monza,Torino,1 - 1
119,12,12/11/2023 12:30,Diego Armando Maradona,Napoli,Empoli,0 - 1
111,12,12/11/2023 15:00,Friuli,Udinese,Atalanta,1 - 1
112,12,12/11/2023 15:00,Artemio Franchi,Fiorentina,Bologna,2 - 1
116,12,12/11/2023 18:00,Olimpico,Lazio,Roma,0 - 0
114,12,12/11/2023 20:45,San Siro,Inter,Frosinone,2 - 0
129,13,25/11/2023 15:00,Arechi,Salernitana,Lazio,2 - 1
121,13,25/11/2023 18:00,Atleti Azzurri d'Italia,Atalanta,Napoli,1 - 2
127,13,25/11/2023 20:45,San Siro,Milan,Fiorentina,1 - 0
123,13,26/11/2023 12:30,Unipol Domus,Cagliari,Monza,1 - 1
124,13,26/11/2023 15:00,Carlo Castellani,Empoli,Sassuolo,3 - 4
125,13,26/11/2023 15:00,Benito Stirpe,Frosinone,Genoa,2 - 1
128,13,26/11/2023 18:00,Olimpico,Roma,Udinese,3 - 1
126,13,26/11/2023 20:45,Juventus Stadium,Juventus,Inter,1 - 1
130,13,27/11/2023 18:30,Marcantonio Bentegodi,Hellas Verona,Lecce,2 - 2
122,13,27/11/2023 20:45,Renato Dall'Ara,Bologna,Torino,2 - 0
136,14,01/12/2023 20:45,Brianteo,Monza,Juventus,1 - 2
132,14,02/12/2023 15:00,Luigi Ferraris,Genoa,Empoli,1 - 1
133,14,02/12/2023 15:00,Olimpico,Lazio,Cagliari,1 - 0
135,14,02/12/2023 20:45,San Siro,Milan,Frosinone,3 - 1
134,14,03/12/2023 12:30,Ettore Giardiniero - Via del mare,Lecce,Bologna,1 - 1
